FECHA;TIPO;DOCUMENTO;ORGANIZACION;CUIT;CONDICIONIVA;NETOGRAV21;IVA21;NETOGRAV10_5;IVA10_5;NETOGRAV27;IVA27;NETOGRAV2_5;IVA2_5;NETOGRAV5;IVA5;RETENCIONIVA;PERCEPCIONIVA;PERCEPCIONIIBB;IMPUESTOSINTERNOS;NOGRAVADOEXENTOYGANANCIAS;TOTAL
2017-01-02;Factura;A-0001-00000077;Donadelli S.R.L;30-74123875-4;RI;10500.00;2205.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12705.00
2017-01-03;Factura;A-0001-00000078;Amazon Group;23-22934163-4;RI;5890.00;1236.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7126.90
2017-01-05;Factura;A-0001-00000079;Berker S.R.L;30-65412441-2;RI;7000.00;1470.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8470.00
2017-01-06;Factura;B-0001-00000047;Etigand S.A.;30-54894145-5;EX;15454.55;3245.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18700.00
2017-01-10;Factura;A-0001-00000080;Galardon S.A.;30-75245987-7;RI;6300.00;1323.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7623.00
2017-01-10;Factura;B-0001-00000048;Ferrari Hnos S.A.;30-54369854-6;EX;17355.37;3644.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21000.00
2017-01-23;Factura;B-0001-00000049;Ferrari Hnos S.A.;30-54369854-6;EX;9917.36;2082.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12000.00
2017-02-01;Factura;A-0001-00000081;Campomas S.A.;30-70056478-3;RI;6300.00;1323.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7623.00
2017-02-14;Factura;B-0001-00000050;Ferrari Hnos S.A.;30-54369854-6;EX;12396.69;2603.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15000.00
2017-02-23;Factura;B-0001-00000051;Etigand S.A.;30-54894145-5;EX;14214.88;2985.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17200.00
2017-02-28;Factura;A-0001-00000082;Manganello S.R.L;30-45852145-6;RI;25200.00;5292.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30492.00
2017-02-28;Factura;A-0001-00000083;Nicolasen y Asociados S.A.;30-70012345-2;RI;17780.00;3733.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21513.80
2017-03-03;Factura;A-0001-00000084;Algorte S.A.;30-70854712-1;RI;10000.00;2100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12100.00
2017-03-10;Factura;A-0001-00000085;Galardon S.A.;30-75245987-7;RI;12000.00;2520.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14520.00
2017-03-13;Factura;A-0001-00000086;Ignition S.A.C.I;30-45789321-9;RI;12900.00;2709.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15609.00
2017-03-13;Factura;A-0001-00000087;Hernandez S.A.;30-70871119-1;RI;25000.00;5250.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30250.00
2017-03-13;Factura;B-0001-00000052;Ferrari Hnos S.A.;30-54369854-6;EX;12396.69;2603.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15000.00
2017-03-16;Factura;A-0001-00000088;Manganello S.R.L;30-45852145-6;RI;6000.00;1260.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7260.00
2017-04-03;Factura;A-0001-00000089;Horizonte S.A.;30-44444444-0;RI;11000.00;2310.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13310.00
2017-04-03;Factura;B-0001-00000053;Juan Lopez;;CF;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6000.00;6000.00
2017-04-05;Factura;B-0001-00000054;Juan Vidauli;;CF;18181.82;3818.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22000.00
2017-04-07;Factura;A-0001-00000090;Berker S.R.L;30-65412441-2;RI;8000.00;1680.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9680.00
2017-04-07;Factura;A-0001-00000091;Hernandez S.A.;30-70871119-1;RI;12000.00;2520.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14520.00
2017-04-08;Factura;B-0001-00000055;Javier Moroni;20-11501678-5;MT;13140.50;2759.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15900.00
2017-04-11;Factura;A-0001-00000092;Hernandez S.A.;30-70871119-1;RI;13000.00;2730.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15730.00
2017-05-03;Factura;A-0001-00000093;Campomas S.A.;30-70056478-3;RI;11300.00;2373.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13673.00
2017-05-04;Factura;A-0001-00000094;Klarkson;30-59036076-3;RI;7400.00;1554.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8954.00
2017-05-06;Factura;A-0001-00000095;Campomas S.A.;30-70056478-3;RI;11780.00;2473.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14253.80
2017-05-06;Factura;A-0001-00000096;Jameson SRL;30-70062331-5;RI;12000.00;2520.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14520.00
2017-05-07;Factura;A-0001-00000097;Hernandez S.A.;30-70871119-1;RI;13900.00;2919.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16819.00
2017-05-07;Factura;B-0001-00000056;Ferrari Hnos S.A.;30-54369854-6;EX;14214.88;2985.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17200.00
2017-05-09;Factura;B-0001-00000057;Valeria Welponer;;CF;15289.26;3210.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18500.00
2017-06-02;Factura;A-0001-00000098;Horizonte S.A.;30-44444444-0;RI;10100.00;2121.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12221.00
2017-06-03;Factura;B-0001-00000058;Javier Moroni;20-11501678-5;MT;5206.61;1093.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6300.00
2017-06-07;Factura;A-0001-00000099;Klarkson;30-59036076-3;RI;9200.00;1932.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11132.00
2017-06-10;Factura;A-0001-00000100;Donadelli S.R.L;30-74123875-4;RI;10000.00;2100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12100.00
2017-06-10;Factura;A-0001-00000101;Berker S.R.L;30-65412441-2;RI;5000.00;1050.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6050.00
2017-06-12;Factura;A-0001-00000102;Donadelli S.R.L;30-74123875-4;RI;6300.00;1323.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7623.00
2017-06-15;Factura;B-0001-00000059;Etigand S.A.;30-54894145-5;EX;11074.38;2325.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13400.00
2017-06-17;Factura;A-0001-00000103;Galardon S.A.;30-75245987-7;RI;0.00;0.00;12000.00;1260.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13260.00
2017-06-18;Factura;A-0001-00000104;Berker S.R.L;30-65412441-2;RI;9600.00;2016.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11616.00
2017-06-20;Factura;B-0001-00000060;Etigand S.A.;30-54894145-5;EX;2727.27;572.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3300.00
2017-06-22;Factura;A-0001-00000105;Manganello S.R.L;30-45852145-6;RI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7400.00;7400.00
2017-07-04;Factura;A-0001-00000106;Campomas S.A.;30-70056478-3;RI;9500.00;1995.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11495.00
2017-07-13;Factura;A-0001-00000107;Nicolasen y Asociados S.A.;30-70012345-2;RI;11880.00;2494.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14374.80
2017-07-20;Factura;A-0001-00000108;Jameson SRL;30-70062331-5;RI;11350.00;2383.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13733.50
2017-07-20;Factura;A-0001-00000109;Campomas S.A.;30-70056478-3;RI;28500.00;5985.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34485.00
2017-07-21;Factura;A-0001-00000110;Donadelli S.R.L;30-74123875-4;RI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12600.00;12600.00
2017-07-22;Factura;A-0001-00000111;Horizonte S.A.;30-44444444-0;RI;16800.00;3528.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20328.00
2017-08-02;Factura;B-0001-00000061;Horacio Aguirre;21-24159753-6;MT;8677.69;1822.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10500.00
2017-08-05;Factura;A-0001-00000112;Campomas S.A.;30-70056478-3;RI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13250.00;13250.00
2017-08-10;Factura;A-0001-00000113;Donadelli S.R.L;30-74123875-4;RI;12190.00;2559.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14749.90
2017-08-12;Factura;A-0001-00000114;Campomas S.A.;30-70056478-3;RI;2500.00;525.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3025.00
2017-08-13;Factura;A-0001-00000115;Berker S.R.L;30-65412441-2;RI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10000.00;10000.00
2017-08-14;Factura;A-0001-00000116;Jameson SRL;30-70062331-5;RI;20200.00;4242.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24442.00
2017-08-18;Factura;A-0001-00000117;Berker S.R.L;30-65412441-2;RI;15000.00;3150.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18150.00
2017-08-25;Factura;A-0001-00000118;Campomas S.A.;30-70056478-3;RI;11300.00;2373.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13673.00
2017-09-01;Factura;A-0001-00000119;Donadelli S.R.L;30-74123875-4;RI;41500.00;8715.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50215.00
